NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),名称(通称),サブタイトル,概要,説明,サブイベント,イベント種類,URL,画像URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,郵便番号,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,備考
,143626,第15回そうわ会館まつり,ダイ15カイソウワカイカンマツリ,,,,,会館利用者及び地域の方による芸能発表・作品展示・イベントを開催し、日ごろの成果を披露します。,,催事・観光,https://www.town.oi.kanagawa.jp/soshiki/16/bunkasai.html,,,,,2020-06-20,2020-06-20,10:00,15:00,,,そうわ会館,,神奈川県,足柄上郡大井町,山田,502,,,,大井町教育委員会,,,,,0,,,,,なし,JR東海御殿場線相模金子駅より徒歩約30分,駐車スペース15台・身障者用駐車場1台,,大井町生涯学習センター,(0465)83-5409,,,新型コロナウイルス感染症対策のため、中止
,143626,第64回町民体育大会,ダイ64カイチョウミンタイイクタイカイ,,,,,区対抗形式の体育大会を開催し、町民の神木と体力増強を図ります。,,健康・福祉、スポーツ,https://www.town.oi.kanagawa.jp/soshiki/16/sportstaikai.html,,,,,2020-10-11,2020-10-11,08:30,15:00,,,湘光中学校,,神奈川県,足柄上郡大井町,金子,1950,,,,大井町教育委員会,,,,,0,,,,,各自治会へ連絡,JR東海御殿場線上大井駅より徒歩約15分、または相模金子駅より徒歩約15分,駐車スペース250台・身障者用駐車場2台・大型車用駐車2台(生涯学習センター),,大井町生涯学習センター,(0465)83-5409,,,新型コロナウイルス感染症対策のため、中止
,143626,第20回大井町文化祭,ダイ20カイオオイマチブンカサイ,,,,,町内で活動している団体及び町民の方による芸能発表・作品展示・イベントを開催し、日ごろの成果を披露します。,,催事・観光,https://www.town.oi.kanagawa.jp/soshiki/16/bunkasai.html,,,,,2020-10-24,2020-10-25,10:00,16:00,,,大井町生涯学習センター,,神奈川県,足柄上郡大井町,金子,1995,,,,大井町・大井町文化団体連絡協議会,,,,,0,,,,,窓口へ申込書を提出,JR東海御殿場線上大井駅より徒歩約15分、または相模金子駅より徒歩約15分,駐車スペース250台・身障者用駐車場2台・大型車用駐車場2台,,大井町生涯学習センター,(0465)83-5409,,,新型コロナウイルス感染症対策のため、中止
,143626,おおい自然園展示会,オオイシゼンエンテンジカイ,,,,,町の自然について展示し、町民の自然に対する理解を深め、環境保全について啓発を図ります。,,生活と環境,https://www.town.oi.kanagawa.jp/soshiki/16/r2ooisizennentenzikai.html,,,,,2020-11-12,2020-11-17,09:00,17:00,,,大井町生涯学習センター,,神奈川県,足柄上郡大井町,金子,1995,,,,大井町教育委員会,,,,,0,,,,,なし,JR東海御殿場線上大井駅より徒歩約15分、または相模金子駅より徒歩約15分,駐車スペース250台・身障者用駐車場2台・大型車用駐車場2台,,大井町生涯学習センター,(0465)83-5409,,,
,143626,人権を考えるつどい,ジンケンヲカンガエルツドイ,,,,,人権についてみんなで学びます。,,生活と環境,https://www.town.oi.kanagawa.jp/soshiki/16/r2jinkenkouennkai.html,,,,,2020-12-05,2020-12-05,13:30,15:00,,,大井町生涯学習センター,,神奈川県,足柄上郡大井町,金子,1995,,,,大井町・大井町教育委員会,,,,,0,,,,,窓口に直接・電話・メールのいずれかで連絡,JR東海御殿場線上大井駅より徒歩約15分、または相模金子駅より徒歩約15分,駐車スペース250台・身障者用駐車場2台・大型車用駐車場2台,,大井町生涯学習センター,(0465)83-5409,,,新型コロナウイルス感染症対策のため、中止
,143626,大井町産業まつり,オオイマチサンギョウマツリ,Oi town Industrial Festival,,,,町の産業が大集合。地元のおいしいものを味わう青空商店街ほか、吉本芸人によるお笑いショーなど、楽しいステージショーが満載!恒例の新春ビンゴ大会では、現金つかみ取りなど豪華景品が多数用意される。,,催事・観光,,,,,,2021-01-17,2021-01-17,10:00,15:00,,,大井町役場駐車場,,神奈川県,足柄上郡大井町,金子,1995,,,,大井町産業まつり実行委員会,,,,,0,,,,,,"公共交通機関をご利用の方/JR御殿場線「上大井駅」より徒歩12分
小田急線「新松田駅」よりシャトルバス
お車の方/国道255号湘光歩道橋信号を左に折れ1分",,,大井町産業まつり実行委員会 (大井町役場 地域振興課内),(0465)85-5013,,,"新型コロナウイルス感染拡大防止の影響により
中止"
,143626,大井町産業まつり 農産物品評会,オオイマチサンギョウマツリ ノウサンブツヒンピョウカイ,Oi town Industrial Festival Agricultural Show,,,,町の農産物が大集合。審査により、105点の受賞品を選出する。翌日産業まつりの日に総合体育館にて表彰式、一般公開、即売会など開催。,,催事・観光,,,,,,2021-01-16,2021-01-17,10:00,15:00,,,大井町総合体育館,,神奈川県,足柄上郡大井町,金子,1970,,,,大井町役場 地域振興課,,,,,0,,,,,,"公共交通機関をご利用の方/JR御殿場線「上大井駅」より徒歩12分
小田急線「新松田駅」よりシャトルバス
お車の方/国道255号湘光歩道橋信号を左に折れ1分",,,大井町役場 地域振興課,(0465)85-5013,,,"新型コロナウイルス感染拡大防止の影響により
中止"
,143626,大井よさこいひょうたん祭,オオイヨサコイヒョウタンマツリ,Oi Yosakoi Hyoutan Festival,,,,県西地域最大規模のジュニア&キッズダンスフェスティバルの開催や、およそ800人の踊り手がステージ、けやき通りの2会場でよさこい踊りを披露する。このほか、夏祭りの雰囲気を醸し出す屋台の出店があり、地元の美味を堪能することができる町内最大規模の祭り。,,催事・観光,,,,,,2020-08-01,2020-08-01,12:00,21:00,"雨天中止の場合、翌2日(日)に開催
開始日: 2020/8/1
終了日: 2020/8/1",,大井町役場駐車場及び周辺道路,,神奈川県,足柄上郡大井町,金子,1995,,,,大井よさこいひょうたんまつり実行委員会,,,,,0,,,,,,"公共交通機関をご利用の方/JR御殿場線「上大井駅」より徒歩12分
小田急線「新松田駅」よりシャトルバス
お車の方/国道255号湘光歩道橋信号を左に折れ1分",,,大井よさこいひょうたん祭実行委員会 (大井町役場 地域振興課内),(0465)85-5013,,,"新型コロナウイルス感染拡大防止の影響により
中止"
,143626,せせらぎウオーキング,セセラギウオーキング,Seseragi Walking,,,,初夏の爽やかな風と、川のせせらぎを感じながら、酒匂川左岸に広がる田園地帯や花菖蒲園など観光スポットを散策するウォーキングイベント。,,健康・福祉、スポーツ,,,,,,2020-05-31,2020-05-31,09:00,12:00,,,ひょうたん池周辺,,神奈川県,足柄上郡大井町,金手,639-1,,,,大井町役場 地域振興課,,,,,0,,,,,大井町役場　地域振興課へ電話,"公共交通機関をご利用の方/小田急線「開成駅」より徒歩15分
お車の方/東名高速道路「大井松田IC」から約5分",ひょうたん池近く「金手駐車場」に約20台駐車可能,,大井町役場 地域振興課,(0465)85-5013,,,"新型コロナウイルス感染拡大防止の影響により
中止"
,143626,せせらぎ田んぼ体験(田植え),セセラギタンボタイケン タウエ,Seseragi tanbo Experience taue,,,,神奈川県大井町にある酒匂川や、付近の田園地帯を会場として、自然を感じながら田んぼ体験を行います。体験をした後はかまどで炊いた美味しいご飯と、地元野菜を使ったトン汁をいただけます。,,生活と環境,,,,,,2020-05-16,2020-05-16,09:00,12:00,,,ひょうたん池周辺,,神奈川県,足柄上郡大井町,金手,639-1,,,,大井町役場 地域振興課,,,,,0,,,,,大井町役場　地域振興課へ電話,"公共交通機関をご利用の方/小田急線「開成駅」より徒歩15分
お車の方/東名高速道路「大井松田IC」から約5分",ひょうたん池近く「金手駐車場」に約20台駐車可能,,大井町役場 地域振興課,(0465)85-5013,,,"新型コロナウイルス感染拡大防止の影響により
中止"
